symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
SBSI,Southside Bancshares Inc.,36,1029128976,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbsi,2664
OKSB,Southwest Bancorp Inc.,25.85,483111218.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/oksb,2665
SP,SP Plus Corporation,31.35,704467135.35,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/sp,2666
SPAN,Span-America Medical Systems Inc.,28.96,79802900,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/span,2667
SGRP,SPAR Group Inc.,0.96,19829606.4,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/sgrp,2668
SPKE,Spark Energy Inc.,31.5,543125110.5,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/spke,2669
SPKEP,Spark Energy Inc.,26.47,0,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/spkep,2670
ONCE,Spark Therapeutics Inc.,58.65,1823585095.5,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/once,2671
SPAR,Spartan Motors Inc.,8.9,305868444.9,n/a,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/spar,2672
SPTN,SpartanNash Company,36.78,1393224781.68,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/sptn,2673
DWFI,SPDR Dorsey Wright Fixed Income Allocation ETF,25.2024,38433660,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwfi,2674
SPPI,Spectrum Pharmaceuticals Inc.,6.385,513634441.97,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sppi,2675
ANY,Sphere 3D Corp.,0.181,18572123.658,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/any,2676
SPEX,Spherix Incorporated,1.149,5680574.421,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/spex,2677
SPI,SPI Energy Co. Ltd.,0.574,36044988.378,62796147,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/spi,2678
SAVE,Spirit Airlines Inc.,59.19,4105987215.9,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/save,2679
